ブロマイド	溴化物
カフェオレ・ミルクタイム	咖啡欧蕾・牛奶Time
お近づき状態のメイド秘書タイプイベント。雑談の定番はやっぱり猫さん。	熟稔状态的秘书女仆事件。聊天的首选话题非猫咪莫属吧。
カフェラテ８：２	咖啡拿铁８：２
お近づき状態のメイド秘書タイプイベント。若き（？）エマの悩みはいろいろ、メイド秘書はやや天然？	熟稔状态的秘书女仆事件。年轻（？）的艾玛烦恼多多、秘书女仆略显天然？
ホワイトアウト・ハプニング	毁灭的喷射白光
お近づき状態のメイド秘書タイプイベント、獣型ロボの背中に乗って、銀河の彼方へいざ飛び立つ俺の歌を聴け！	熟稔状态进展至信赖的秘书女仆事件。跨到机兽的背上、飞向银河的彼方、卸你心防、听我歌唱！
爆弾の後始末	收拾炸弹
信頼状態のメイド秘書タイプイベント。悲喜こもごもの後夜祭。	信赖状态的秘书女仆事件。悲喜交集的后夜祭。
この後一緒にお食事でも	等会儿一起吃个饭
信頼状態のメイド秘書タイプイベント。男性が誘う時は方法に気を付けましょう。	信赖状态的秘书女仆事件。留心一下男人是怎么邀人的吧。
無味無臭の恋心	淡泊如水的情意
信頼状態のメイド秘書タイプイベント。勘違いはさらなる勘違いの素。	信赖状态的秘书女仆事件。误解累积在误解之上。
明転ふたたび	明朗
信頼状態のメイド秘書タイプイベント。駆けつけ一杯ばくだんカクテル！	信赖状态的秘书女仆事件。先来罚杯爆弹酒！
告白された人の義務	面对告白的义务
信頼状態のメイド秘書タイプイベント、関係が進展します。これも一つの決着の形？	信赖状态进展至恋人的秘书女仆事件。这也差不多算是要──
彼女？　お母さん？　おばあ……	女友？妈妈？欧巴──
恋人状態のメイド秘書タイプイベント。アレな本の隠し場所確認はメイド秘書のお仕事。	恋人状态的秘书女仆事件。确认那种本子的藏身之处，也是秘书女仆的工作。
不安の鍵	不安的征兆
恋人状態のメイド秘書タイプイベント。すまんな、ガハハ！	恋人状态的秘书女仆事件。歹势啦，嘎哈哈！
ブラックは突然に	意料外的黑咖啡
恋人状態のメイド秘書タイプイベント。どちらかといえば男のロマンのような気もする。	恋人状态的秘书女仆事件。总而言之，男人浪漫这东西──
そろそろ固めないと	差不多也该定下来了
恋人状態のメイド秘書タイプイベント。自然に固まるのを待つのも一興？	恋人状态的秘书女仆事件。顺其自然也没什么不好吧？
諸行無常と言うけれど	虽或曰诸行无常
恋人状態のメイド秘書タイプイベント。春の夜の夢をもう少し見ていたい。	恋人状态的秘书女仆事件。即便是无痕春梦，再多流连一下也──
ダブルメイド秘書	女仆秘书×女仆秘书
いつものように寝癖を指摘しようと思ったメイド秘書の前に、新しい方のメイド秘書が現れる（ややこしい）	正想着一如往常纠正主人睡相的秘书女仆──她见到的是抢先一步的新秘书女仆（卖闹）
メイド秘書と会話２回目を見ている。	我和女仆秘书进行了第二次对话。
メイド秘書デート	与秘书女仆约会
メイド秘書とデートをする事に、その陰には如月エマの涙ぐましい努力があるのであった。	在得以跟秘书女仆约会的背后──是如月艾玛小姐以藏起来的血泪努力换来的结果。
メイド秘書と会話４回目を見ている。	我和女仆秘书进行了第四次对话。
ずっと幸せを避けてきたメイド秘書を迎えに行く。	去接她吧──那个一直逃避着幸福的秘书女仆。
メイド秘書と会話５回目を見ている。	我和女仆秘书进行了第五次对话。
メイド秘書のこれまで	至今为止的秘书女仆
メイド秘書の過去を探る探偵ご主人様。その結果は……？	打探起秘书女仆过去的主人侦探。他所查到的是……？
メイド秘書を雇用している。	已僱用女仆秘书。
酔いどれメイド秘書	酩酊大醉的秘书女仆
酔っぱらってしまったメイド秘書。ご主人様はその介抱をする事に。	秘书女仆喝到醉倒，主人不得不去照顾……
好感度が20以上。	好感度在20以上。
メイド秘書、その真名	秘书女仆、其真名为──
エンパイアクラブ最大の謎『メイド秘書の名前』その真実が今明かされる――！？	『秘书女仆的真名为何』──这个号称帝国俱乐部的最大谜团，如今即将真相大白──！？
好感度が40以上。	好感度在40以上。
お見合い……！？	相亲……！？
メイド秘書にお見合いの話が舞い込む。ご主人様が選んだ選択は……	秘书提到了老家那边要她回去相亲的话题。作为主人的抉择该是……
好感度が60以上。	好感度在60以上。
メイド秘書、その年齢	秘书女仆、其年龄为──
エンパイアクラブ最大の謎（重複）『メイド秘書の年齢』その真実が今明かされる――！？	『秘书女仆的年龄为何』──这个号称帝国俱乐部的最大谜团（重复），如今即将真相大白──！？
好感度が80以上。	好感度在80以上。
警戒状態の無垢タイプイベント。まだあまり仲良しではないご主人様相手に、緊張する無垢。	警戒状态的单纯女仆事件。对于仍不怎么熟的主人，单纯女仆仍感到十分紧张。
警戒状態の無垢タイプイベント。少しずつご主人様に懐いていって……	警戒状态的单纯女仆事件。似乎一点一滴地跟主人混熟了起来……
警戒状態の無垢タイプイベント。無垢はちょっとだけ男の人が苦手なご様子。けれどご主人様なら……？	警戒状态的单纯女仆事件。对男性仍有些难以适应的单纯女仆，换作主人倒是……？
警戒状態の無垢タイプイベント。関係が進展します。無垢にちょっとしたピンチが訪れる。ご主人様にエールを貰った無垢は……	警戒状态进展至熟稔的单纯女仆事件。碰上了些许危机的单纯女仆，得到了主人的奥援后……
恋人状態の無垢タイプイベント。関係が進展します。ちゅーのおかわり。	恋人状态进展至恋人+的单纯女仆事件。再来亲亲一次吧。
恋人プラス状態の無垢タイプイベント。ラブラブな二人はラーメンを食べに行く事に。	恋人+状态的单纯女仆事件。
恋人プラス状態の無垢タイプイベント。ただただノロケるお話。	恋人+状态的单纯女仆事件。反正只想秀恩爱。
恋人プラス状態の無垢タイプイベント。無垢はバブみを披露してくれるそうで？	恋人+状态的单纯女仆事件。她身上竟也开始展现母性了？
恋人プラス状態の無垢タイプイベント。おつかいの途中ににゃんにゃんを見つける無垢。	恋人+状态的单纯女仆事件。在跑腿的途中遇见了猫咪……
恋人プラス状態の無垢タイプイベント。このしあわせがいつまでも続きますように。	恋人+状态的单纯女仆事件。希望能永远幸福快乐下去──
実際こんなイチャイチャを水着屋でやってたら殺されるのでは……？	老实讲在泳装店里晒恩爱会不会被打死啊……？
無垢タイプのメイドとデートの約束をしている。	已与「单纯女仆」作过约会的约定。
無垢とのらぶらぶデート、ちょっと頑張り過ぎたみたいで……？	这场跟她拚命恩恩爱爱的约会，是不是有点太拚了啊……？
警戒状態の真面目タイプイベント。ガードが堅い真面目、取り付く島もない。	警戒状态的认真女仆事件。心防甚重的她，教人无语问苍天。
警戒状態の真面目タイプイベント。少しずつ距離を近づけていくご主人様。	警戒状态的认真女仆事件。一点儿也好──距离总算拉近些了。
警戒状態の真面目タイプイベント。荷物の取り違えで、大変な事に……！？	警戒状态的认真女仆事件。拿错了包裹，代志大条了……！？
警戒状態の真面目タイプイベント。関係が進展します。ようやく真面目が心を開いてくれて……	警戒状态进展至熟稔的认真女仆事件。她总算开始对自己敞开心房……
恋人状態の真面目タイプイベント。関係が進展します。さらに深まる絆。	恋人状态进展至恋人+的认真女仆事件。愈发深刻的羁绊。
恋人プラス状態の真面目タイプイベント。真面目は周囲に幸せをまき散らす。	恋人+状态的认真女仆事件。周围全都是她多到撒出来的幸福。
恋人プラス状態の真面目タイプイベント。恋はメイドを成長させる。	恋人+状态的认真女仆事件。恋爱也能让女仆有所成长。
恋人プラス状態の真面目タイプイベント。真面目はさらに自分を高めようとして……	恋人+状态的认真女仆事件。为了更上一层楼……
恋人プラス状態の真面目タイプイベント。メイド秘書の試験に不安を覚える真面目。けれど、二人なら……	恋人+状态的认真女仆事件。班长对秘书女仆的考试感到不安。但只要两人相伴……
恋人プラス状態の真面目タイプイベント。メイド秘書の試験の結果は如何に……？	恋人+状态的认真女仆事件。秘书女仆考试的结果究竟是……？
デート当日、まさかの大雨。ご主人様はこのピンチを切り抜けるアイディアを思いつく。	约会当天，好死不死下起了倾盆大雨。而就在这危机当头，主人灵光一闪。
真面目タイプのメイドとデートの約束をしている。	已与「认真女仆」作过约会的约定。
プレゼントのお返しに真面目が選んだのは……	她所选的回礼是……
警戒状態の凜デレタイプイベント。打ち解けたいけど、まだぎこちない２人。	警戒状态的可靠女仆事件。虽然想尽早混熟、但感觉还是有些生硬的两人。
警戒状態の凜デレタイプイベント。コーヒーの飲み過ぎは控えましょう。	警戒状态的可靠女仆事件。控制一下那依赖咖啡的习惯吧。
警戒状態の凜デレタイプイベント。寝る前にトイレに行くようにしましょう。	警戒状态的可靠女仆事件。睡前还是先去个厕所吧。
警戒状態の凜デレタイプイベント。関係が進展します。真実は闇の中……？	警戒状态进展至熟稔的可靠女仆事件。真实埋于黑暗之中……？
恋人状態の凜デレタイプイベント。関係が進展します。少し早めの誓いのキス。	恋人状态进展至恋人+的可靠女仆事件。稍嫌尚早的誓约之吻。
恋人プラス状態の凜デレタイプイベント。また新たなスタートを切りましょう。	恋人状态+的可靠女仆事件。从这儿开始、再踏出新的一步吧。
恋人プラス状態の凜デレタイプイベント。今ではコーヒーですれ違うこともないけれど、時々思い出す。	恋人状态+的可靠女仆事件。在没怎么碰咖啡了的现在，偶尔还是会想起来。
恋人プラス状態の凜デレタイプイベント。使い古された言葉にこそ、浪漫は眠るもの。	恋人状态+的可靠女仆事件。在那老套的言辞中，沉睡着浪漫。
恋人プラス状態の凜デレタイプイベント。軍曹による愛のあるトレーニング。	恋人状态+的可靠女仆事件。这是魔鬼班长的爱之深责之切。
恋人プラス状態の凜デレタイプイベント。共同生活はすり合わせが大切です。	恋人状态+的可靠女仆事件。在共同生活中，好好沟通是很重要的。
一緒にショッピングデート。凜デレは何気無い幸せを噛みしめる。	一同逛街的约会中──她细细品味着这平凡的幸福。
凜デレタイプのメイドとデートの約束をしている。	已与「可靠女仆」作过约会的约定。
踏んだり蹴ったりのデートになってしまう二人、けれど、それもどこか楽しくて。	两人的约会一团糟──尽管如此，这仍有箇中趣味。
Ｓ⇔Ｎパニック	Ｓ⇔Ｎ大骚动
お近づき状態のふわふわ妹タイプイベント。ここ、どこ……？　ご飯食べに行こうとしてたのに……！	熟稔状态的软萌妹妹事件。这里是哪里……？
ふわふわ妹タイプからの好感度上昇により発生します	随着「软萌妹妹」的好感度上升触发﻿保存されていない情报は失われます。タイトルに戻りますか？
ある日、森のなか	某天、在森林之中
お近づき状態のふわふわ妹タイプイベント。お兄ちゃんに、出会った――	熟稔状态的软萌妹妹事件。总算、遇见哥哥了──
絶妙に可愛くない猫のぬいぐるみ	绝妙地不可爱的猫咪娃娃
お近づき状態のふわふわ妹タイプイベント、関係が進展します。どこかで見たような……？	熟稔状态进展至信赖的软萌妹妹事件。是不是在哪见过啊……？
新しい生活、新しい仕事	新生活、新工作
信頼状態のふわふわ妹タイプイベント。アイドルのお仕事は、アイドルだけにあらず。	信赖状态的软萌妹妹事件。在偶像这一行工作的、并不只有偶像本身。
○○は別腹	○○装在别的肚子里
信頼状態のふわふわ妹タイプイベント。女の子には逆らえないのが男の常。	信赖状态的软萌妹妹事件。男人就是拿小女生没辙啊。
プレゼントを寝不足が落として頭	睡眠不足而低头的礼物
信頼状態のふわふわ妹タイプイベント。プレプレ前途にコーヒーオムハヤシ。	信赖状态的软萌妹妹事件。朝向模糊的视线前方、灌下咖啡什锦蛋包饭。
ケアレスミスは何のせい	失误连连的错在哪
信頼状態のふわふわ妹タイプイベント。ようやく正気に戻ったご主人様と、なんだか調子の悪い妹。	信赖状态的软萌妹妹事件。主人终于恢复了正常，然而妹妹却乱了步调。
お兄ちゃんに言えないこと	无法对哥哥开口的事
信頼状態のふわふわ妹タイプイベント。不信の種は蒔かれたら終わり。	信赖状态的软萌妹妹事件。怀疑的种子一旦发芽便无以挽救。
壊れたプレゼントボックス	被压坏的礼物箱
信頼状態のふわふわ妹タイプイベント。こういうのはノリが大事。	信赖状态的软萌妹妹事件。听从自己的真心吧。
彼女に何が起こったか	她身上发生了什么
信頼状態のふわふわ妹タイプイベント、関係が進展します。お花お花。	信赖状态进展至恋人的软萌妹妹事件。摘花摘花──
ぬいぐるみのお名前は？	娃娃要取什么名字？
恋人状態のふわふわ妹タイプイベント。名は体を表すといいますから……	恋人状态的软萌妹妹事件。希望它能「娃」如其名啊……
もし、だめだったら	如果真的没办法的话
恋人状態のふわふわ妹タイプイベント。幼さの中に、確かにある強さ。	恋人状态的软萌妹妹事件。看似稚嫩的外表下──却有着无庸置疑的刚强。
お返事とふわふわ	回信与毛茸茸
恋人状態のふわふわ妹タイプイベント。その夜は、ホラー映画のような夢を見たとか見てないとか。	恋人状态的软萌妹妹事件。这晚，究竟会不会作恐怖电影那样的噩梦呢……
エンパイアクラブのやわらかな夜	帝国俱乐部的安稳之夜
恋人状態のふわふわ妹タイプイベント。直伝の味！	恋人状态的软萌妹妹事件。真传的味道！
無垢-警戒-会話イベント in レストラン	单纯女仆-警戒-餐厅对话事件
警戒状態の無垢タイプ会話イベント。レストランでメイドと会話します。	警戒状态的单纯女仆对话事件。在餐厅与单纯女仆的对话。
無垢タイプとの会話イベントで発生します	已触发过与「单纯女仆」的相关对话
無垢-警戒-会話イベント in カフェ	单纯女仆-警戒-露天咖啡对话事件
警戒状態の無垢タイプ会話イベント。カフェでメイドと会話します。	警戒状态的单纯女仆对话事件。在露天咖啡与单纯女仆的对话。
無垢-警戒-会話イベント in バーラウンジ	单纯女仆-警戒-酒廊对话事件
警戒状態の無垢タイプ会話イベント。バーラウンジでメイドと会話します。	警戒状态的单纯女仆对话事件。在酒廊与单纯女仆的对话。
真面目-警戒-会話イベント in レストラン	认真女仆-警戒-餐厅对话事件
警戒状態の真面目タイプ会話イベント。レストランでメイドと会話します。	警戒状态的认真女仆对话事件。在餐厅与认真女仆的对话。
真面目タイプとの会話イベントで発生します	已触发过与「认真女仆」的相关对话
真面目-警戒-会話イベント in カフェ	认真女仆-警戒-露天咖啡对话事件
警戒状態の真面目タイプ会話イベント。カフェでメイドと会話します。	警戒状态的认真女仆对话事件。在露天咖啡与认真女仆的对话。
真面目-警戒-会話イベント in バーラウンジ	认真女仆-警戒-酒廊对话事件
警戒状態の真面目タイプ会話イベント。バーラウンジでメイドと会話します。	警戒状态的认真女仆对话事件。在酒廊与认真女仆的对话。
凜デレ-警戒-会話イベント in レストラン	可靠女仆-警戒-餐厅对话事件
警戒状態の凜デレタイプ会話イベント。レストランでメイドと会話します。	警戒状态的可靠女仆对话事件。在餐厅与可靠女仆的对话。
凜デレタイプとの会話イベントで発生します	已触发过与「可靠女仆」的相关对话
凜デレ-警戒-会話イベント in カフェ	可靠女仆-警戒-露天咖啡对话事件
警戒状態の凜デレタイプ会話イベント。カフェでメイドと会話します。	警戒状态的可靠女仆对话事件。在露天咖啡与可靠女仆的对话。
凜デレ-警戒-会話イベント in バーラウンジ	可靠女仆-警戒-酒廊对话事件
警戒状態の凜デレタイプ会話イベント。バーラウンジでメイドと会話します。	警戒状态的可靠女仆对话事件。在酒廊与可靠女仆的对话。
休暇に田舎の一軒屋にやってきて、無垢とゆったり過ごすご主人様。	凑出了休假的主人带着无垢来到了乡间小厝，悠闲地度假……
満天の星空の下で二人は縁側で仲良く星空を見上げて……	在繁星之下，两人相亲相爱地坐在缘廊上仰望星空……
真面目と田舎にやってきたら、真面目が張り切るも……	来到了这乡下地方，即使再怎么闲不下来的班长也得……
田舎の自然の中、二人で晩酌をしながらゆったりした時間を過ごす。	在这田园风光中，两人一边小酌、一边品味着时间的流逝……
凜デレとゆっくりするつもりが、なぜかおばあちゃんのお手伝いをすることに。	本来带着可靠女仆是想来悠哉度假的──怎料一来就得跑去帮附近阿嬷收割了啊？
2人でゆっくりしていると、二人の下に今度はおじいさんが現れて……？	在两人从田里回来休息后，这次突然又有个阿公跑来了两人面前……？
休暇に田舎にやってきたが、文学少女はそこでもやっぱり本を読んでいて……	都跑到乡下来度假了，但文学少女又果不其然地拿出了书来读……
気づいたら寝ていた文学少女。そして、当然の事ながら蚊に刺されてしまい……	文学少女一不小心就在缘廊睡着了。理所当然地、她全身上下都是被蚊虫叮咬的肿包……
絶対拒絶状態	绝对拒绝状态
お近づき状態の無愛想タイプイベント。はたして仲良くなることはできるのか……？	亲近状态的冷淡类型活动。到底能成为好朋友吗……？
無愛想タイプからの好感度上昇により発生します	由于冷淡型的好感度上升而产生的
朝のお決まりセット	早上的固定套餐
お近づき状態の無愛想タイプイベント。仕方ないじゃない、男の子だもの。	亲近状态的冷淡类型活动。没办法，因为是男孩子嘛。
ノンレム・アクシデント	无党派事件。
お近づき状態の無愛想タイプイベント、あの子の意外な趣味は……	接近状态的冷淡型活动，那个孩子意外的兴趣是……
薄いつながり	淡薄的联系
お近づき状態の無愛想タイプイベント。趣味を通じて、薄いつながりができるふたり。破れないように、慎重に。	亲近状态的冷淡类型活动。通过兴趣，两个人有了很薄的联系。小心不要破了。
かすり傷ひとつ	一个擦伤
お近づき状態の無愛想タイプイベント。確かに残る、僅かな傷跡。	亲近状态的冷淡类型活动。确实留下了些许伤痕。
説教と後悔と	说教和后悔
お近づき状態の無愛想タイプイベント、関係が進展します。説教は傷つけるだけとは限りません。	亲近状态的冷淡型活动，关系会有所进展。说教不一定只是伤害。
もみじひとひら	一片红叶
信頼状態の無愛想タイプイベント。お相撲さんと喧嘩をするのはやめましょう。	信任状态的冷淡类型事件。请不要和相扑选手吵架。
カフェでの一幕	在咖啡馆的一幕
信頼状態の無愛想タイプイベント。強い彼女の静かな悩み。	信任状态的冷淡类型事件。坚强的她安静的烦恼。
変わるということ	所谓的改变
信頼状態の無愛想タイプイベント。私のことも、好きですか？	信任状态的冷淡类型事件。你也喜欢我吗？
信頼状態の無愛想タイプイベント。近づいて、離れて……	信任状态的冷淡类型事件。靠近，离开……
関係の終わり	关系的结束
信頼状態の無愛想タイプイベント、関係が進展します。全て捨てて逃げるのは楽だけど、そこに立ち向かうのが強さ。	信赖状态的冷淡类型事件，关系进展。虽然舍弃一切逃走很轻松，但是坚强的面对着那里。
正しくないことをしよう	做不正确的事吧
恋人状態の無愛想タイプイベント。あの子はいつもタイミングが悪い！	恋人状态的冷淡类型活动。那个孩子总是时机不好！
いざライブへ！	来实况录音吧！
恋人状態の無愛想タイプイベント。涼くんの一番の支持層はおじさんだとか。	恋人状态的冷淡类型活动。凉君最支持的是大叔。
これまでと、これからと	到现在为止、今后和
恋人状態の無愛想タイプイベント。今まで色々ありました。	恋人状态的冷淡类型活动。到现在为止发生了很多事情。
可愛すぎる無垢ばかり見て服装をあまり見ていなかったご主人様は……	主人只看到太可爱的无垢，不怎么看衣服……
カッコいいコーデに自信満々な無垢だが、ご主人様の感想はちょっとずれていて……	对帅气的搭配充满自信的无垢，但是主人的感想有点偏差……
可愛らしい魔道師コスに悪乗りするご主人様。そして無垢が別の色に着替えてきて……	恶乘可爱魔道师cos的主人。然后无垢换了别的颜色……
アンドロイドで強そうなコーデにドキドキになる。無垢もノリノリで着こなして……	智能机器人的强大搭配让人怦然心动。无垢也能兴致勃勃地穿上……
可愛い服を着て似合っているのに、どうしても恥ずかしがる真面目。どうやら理由があるようで……	明明很适合穿可爱的衣服，却总是很害羞。好像有理由……
ライダースーツを可愛いという真面目。カッコいいか可愛いか論争が始まって……	骑士西装很可爱，很认真。是帅还是可爱的争论开始了……
魔法使いの恰好は真面目だとエロ過ぎると力説。そんなことはないと真面目は言うけども……	极力主张魔法使的打扮过于认真和色情。虽然说没有那样的事，但是……
バトルスーツを着た真面目はいまいちしっくりこない。しかしそれはカラーの問題だといい……	穿着战斗套装的认真劲儿还不太适合。但是那是颜色的问题……
女の子らしい恰好に似合わないと恥ずかしがる凜デレ。大丈夫と他の色を出すご主人様だが……	凛デレ因为不适合女孩子的打扮而害羞。主人觉得没关系，于是拿出了其他颜色……
ライダースーツが凄く似合っている凜デレ。しかし、ちょっとした可愛い一面が見えて……	凛デレ非常适合骑士装。但是，看到了稍微可爱的一面……
魔道士のような恰好をしている凜デレ。しかし、他に凜デレにはイメージのあう似合う服があり……	打扮得酷似魔道士的凛デレ。但是，其他的凛デレ还有适合形象的衣服……
とてもバトルアーマーの似合っている凜デレ。しかり、凜デレにはちょっと気になる部分があるようで……？	非常适合战斗装甲的凛デレ。没错，凛デレ似乎有点在意的地方……？
二人のプロポーズ	两个人的求婚
朗らかな笑みを浮かべる無垢。ご主人様は、そんな無垢に『本当に俺は幸せに出来るかな？』と問いかけて……	天真无邪地露出爽朗的笑容。主人这样天真地说：“我真的能幸福吗？”这样问……
一番大切な人	最重要的人
メイドとしてもすっかりと成長した真面目。今が幸せだという彼女に、ご主人様は本気の気持ちでプロポーズをする。	作为女仆也完全成长了的认真。对于现在觉得幸福的她，主人会以真心的心情向她求婚。
本当の気持ち	真正的心情
プロポーズの言葉に動揺する凜デレ。本当に自分でいいのだろうかと悩む凜デレに……	凛デレ因为求婚的话而动摇。对于烦恼自己真的可以吗的凛デレ……
静かに、それでも嬉しく	静静地，即使如此也很开心
いつもと変わらない無口に対し、ご主人様は気持ちを伝えようとして……	和往常一样沉默寡言，主人想表达自己的心情……
ありのままのあなたで	真实的你
小悪魔を幸せに出来るか不安だと伝えるご主人様。しかし、小悪魔は不機嫌そうにその言葉を止めさせ、いつも通りでいいと伝え……	主人不知道能不能让小恶魔幸福。但是，小恶魔却不高兴地止住了那句话，告诉他和平时一样就可以了……
月明かりの祝福	月光的祝福
自信なさげなご主人様に、おしとやかは……	对于没有自信的主人，安详是……
あなたと私で	你和我
メイド秘書を俺が幸せにするとプロポーズをするご主人様。メイド秘書は、そんなご主人様に二人で一緒に幸せになればいいと伝え……	主人为了让女仆秘书幸福而求婚。女仆秘书告诉这样的主人两个人一起幸福就好了……
ふわふわな幸せ	软萌的幸福
『幸せにできるかな？という問いかけに今でも幸せだという妹は……	“能幸福吗？对于这个问题，至今仍然觉得幸福的妹妹……
仮面をはずして	摘下面具
無愛想へのプロポーズ。普段は素直になれず、いつだって皮肉を言ってしまうような無愛想も、この時ばかりは混乱して慌ててしまい……	冷淡的求婚。平时不坦率，总是说些讽刺话的冷淡，只有在这个时候会混乱慌张……
分かち合う事	分享的事
緊張するご主人様に、ツンデレからとんでもない発言が……	对于紧张的主人，傲娇说了些什么……
大切な宝物	重要的宝物
クーデレに一世一代のプロポーズをするご主人様。クーデレはそんなご主人様に対し、クールに……	冷漠少女向她求婚的主人。对于这样的主人，要冷静……
世界中の何よりも	比世界上的任何东西都重要
呼び出すと、別れの話かと勘違いしていまう純真。そんな彼女に誤解を解いて……	叫出来的时候，纯真误以为是分手的事。解开她的误会……
愛の重力	爱的重力
ヤンデレについにプロポーズをするご主人様。嬉しさに涙を流すヤンデレは……	病娇少女终于向主人告白。因开心而流泪的不良少年……
恰好悪くても	即使身材不好
お姉ちゃんに告白しようとするが、言葉が出なくなるご主人様。そんなご主人様に、お姉ちゃんは優しく言葉を促して……	主人想要向姐姐表白，却说不出话来。姐姐温柔地催促着这样的主人说话……
二人のスタートライン	两个人的起跑线
心の準備が出来ていないながらも、プロポーズすることになったご主人様。その言葉にボクっ娘も動揺して……	主人虽然没有做好心理准备，但还是向他求婚了。那句话让我女儿也动摇了……
二人で見る月	两个人一起看的月亮
ドＳにプロポーズをしようとするご主人様。中々言い出せないご主人様を煽りながらも応援するドＳに、ご主人様は……	打算向抖S求婚的主人。对于一边煽动着无法言说的主人一边支持的抖S，主人……
二人で誓う永遠の愛	两个人发誓永远的爱
仲のよかったメイド達にお祝いされ送り出されて、ご主人様とメイド二人は大聖堂で永遠の愛を誓う。	被关系好的女仆们祝福送出去，主人和女仆二人在大教堂发誓永远的爱。
式が終わり	仪式结束
メイド達に囲まれてお祝いをされる二人。祝福の言葉を貰い、披露宴も終わりプライベートルームに行った二人は……	在女仆们的包围下被祝福的两个人。收到祝福的话语，婚宴结束后两个人去了私人房间……
黒澄玄徳という男がエンパイアクラブに来店。ご主人様のエンパイアクラブに対し、不満を抱き……	一个叫黑澄玄德的男子来到了帝国俱乐部。对主人的吸血鬼俱乐部感到不满……
玄徳は『お互いのパートナーを交換する』という提案をご主人様に持ちかける。	玄德向主人提出“交换彼此的伙伴”的提案。
提案を受け入れたご主人様。玄徳は策を講じ、ご主人様とメイドの関係をかき乱す。	接受提案的主人。玄德想出了对策，扰乱了主人和女仆的关系。
玄徳のパートナーである咲羽に誘惑されるご主人様。咲羽の誘惑にご主人様は……	被玄德的搭档咲羽诱惑的主人。主人被咲羽的诱惑……
咲羽と関係を持ってしまったご主人様。逃れられない渦に絡み取られ、堕ちていく。	和咲羽有关系的主人。被无法逃避的漩涡缠绕，堕落下去。
ぎこちない二人	笨拙的两个人
警戒状態の純真タイプイベント。まだまだ緊張している彼女。	警戒状态的纯真型活动。她还是很紧张。
純真タイプからの好感度上昇により発生します	由纯真类型的好感度上升而产生
困ったとこの甘いもの	这个甜的东西让我很为难
警戒状態の純真タイプイベント。前の失敗を取り返すためにカフェに来てもらい……	警戒状态的纯真型活动。为了挽回之前的失败，请来了咖啡店……
近づいて行く距離	逐渐接近的距离
警戒状態の純真タイプイベント。まだまだ緊張する彼女に声をかけコツコツと積み重ね。	警戒状态的纯真型活动。向还是很紧张的她打招呼，孜孜不倦地积累。
頑張り屋な君へ	给努力的你
警戒状態の純真タイプイベント。関係が進展します。ワーカーホリックな彼女に。	警戒状态的纯真型活动。关系进展。工作狂的她。
進展：お傍において下さい	进展：请让我待在身边
純真タイプのメイドとの関係が信頼になります。	和纯真类型的女仆的关系值得信赖。
告白：誰よりも	告白：比任何人都更加地
純真タイプのメイドとの関係が恋人になります。	和纯真类型的女仆的关系成为恋人。
二人で誓う永遠	两个人发誓永远
恋人状態の純真タイプイベント。関係が進展します。二人で噂の噴水の前で。	恋人状态的纯真类型活动。关系进展。两个人在传说中的喷泉前。
ななひゃくえんのくれーぷ	百年好合
恋人プラス状態の純真タイプイベント。どうにも彼女は贅沢に慣れないようで。	恋人正状态的纯真类型活动。她好像怎么也不习惯奢侈。
ご主人様へのお願い	对主人的请求
恋人プラス状態の純真タイプイベント。欲しいものがないか聞いてみると、それは「つなぱすた」で……？	恋人正状态的纯真类型活动。问了一下有没有想要的东西，那是“つなばた”……？
知る人ぞ知る……	只有知道的人知道……
恋人プラス状態の純真タイプイベント。どうやら彼女は注目されているようで……？	恋人正状态的纯真类型活动。看来她很受关注……？
そっくりな二人	一模一样的两个人
恋人プラス状態の純真タイプイベント。彼女の声かと思ったけども、なにやらおかしいような……	恋人正状态的纯真类型活动。原以为是她的声音，却觉得有点奇怪……
彼女の輝き	她的光辉
恋人プラス状態の純真タイプイベント。彼女に対して、サプライズイベント！	恋人正状态的纯真类型活动。给她一个惊喜活动！
二人でのお買い物	两个人一起买东西
恋人プラス状態の純真タイプイベント。家具の買い物に行く二人だが、いい物が見つからず……	恋人正状态的纯真类型活动。两个人去买家具，但是找不到好东西……
純真タイプのメイドとデートの約束をしている	和纯真类型的女仆约会
二人っきりのSNS	只有两个人的SNS
恋人プラス状態の純真タイプイベント。旅行の約束をしたけど、やってきたのはナイトプールで……	恋人正状态的纯真类型活动。虽然约好了旅行，但是来的是夜间游泳池……
純真-警戒-会話イベント in レストラン	纯真-警戒-对话活动in餐厅
警戒状態の純真タイプ会話イベント。レストランでメイドと会話します。	警戒状态的纯真型对话活动。在餐厅和女仆对话。
純真タイプとの会話イベントで発生します	在和纯真类型的对话活动中发生
純真-警戒-会話イベント in カフェ	纯真-警戒-对话活动in咖啡厅
警戒状態の純真タイプ会話イベント。カフェでメイドと会話します。	警戒状态的纯真型对话活动。在咖啡厅和女仆对话。
純真-警戒-会話イベント in バーラウンジ	纯真-警戒-对话活动in酒吧休息室
警戒状態の純真タイプ会話イベント。バーラウンジでメイドと会話します。	警戒状态的纯真型对话活动。在酒吧休息室和女仆对话。
可愛い服？　エッチな服？	可爱的衣服？色情的衣服？
