イベントをスキップする	跳过事件
ばつ	刑罚
--------------------カスタムキャスト_イベント002--------------------	---------自定义角色事件002---------
バイバイ	拜拜
パチパチ	啪啪啪啪
--------------------カスタムキャスト_イベント003--------------------	---------自定义角色事件003---------
リズム	节奏
リズム_001	节奏001
リズム_002	节奏002
リズム_003	节奏003
歩き	步行
ギター	吉他
ウサダンス	乌萨舞
アイドルステップ	空闲步骤
寝転び頬杖	辗转托腮
--------------------調整--------------------	---------调整---------
身体テクスチャ削除	删除身体纹理
胸、スパンキング痕	胸、墩距痕迹
尻、スパンキング痕	屁股、墩距痕迹
腹、精液	腹部、精液
尻、精液	屁股、精液
--------------------エロシーン系男女001（統一H）--------------------	黄色场景系男女001（统一H）---------
ピロトーク_待機	彼得谈话待机
ピロトーク_頭撫で	皮洛谈话摸头
ピロトーク_キス	皮洛谈话kiss
ピロトーク_抱き付き待機	皮洛谈话抱着待命
ピロトーク_抱き付きキス	皮洛谈话抱抱接吻
--------------------エロシーン系001（統一G）--------------------	---------工口系001（统一G）---------
気絶	昏厥
ピロトーク_一人	一个人的谈话
反省	反省
--------------------ck_menu_000--------------------	---------ck menu 000---------
--------------------イベント001--------------------	---------事件001---------
--------------------【アイテム削除】--------------------	---------删除项目
--------------------【カスタム固定解除】--------------------	---------取消自定义
向かい合って立つ＿待機	相对而坐
向かい合って立つ＿キス前	面对面站立在亲吻前
向かい合って立つ＿キス待機	面对面站着等待亲吻
向かい合って立つ＿キス	相对立的接吻
向かい合って立つ＿キス終了	面对面站着，亲吻结束
向かい合って立つ＿頭撫で	面对面站着，抚摸着头
向かい合って立つ＿頭撫で戻り	面对面站着，抚摸着头回去
肩揉み＿揉み	揉肩，揉肩
立ち肩揉み＿待機	站肩按摩待机
立ち肩揉み＿揉み	站肩按摩
耳かき	掏耳朵
耳かき＿いたずら	挖苦人
背中流し	擦背
胸揉み＿揉み	揉胸脯
膝枕＿耳かき	枕膝，掏耳朵
膝枕＿撫でる	枕膝而摩
膝枕＿胸揉み	枕膝，揉胸
--------------------イベント002--------------------	---------事件002---------
女子会１	女子会1
女子会２	女子会2
女子会２スマホ	女子会2手机
女子会３	女子会3
--------------------アイテム関係--------------------	---------项目关系---------
◆◆◆◆アイテム削除◆◆◆◆	◆◆◆◆◆◆删除项目
--------------------イベント006--------------------	---------事件006---------
床座り＿待機	坐在地板上等待
床座り＿落ち込む	坐在地板上心情低落
床座り＿落ち込む待機	坐在地板上等待跌落
床座り＿落ち込む戻り	坐在地板上沮丧的回来
床座り＿おねだり	坐在地板上
床座り＿おねだり待機	坐在地板上等待
床座り＿おねだり戻り	坐在地板上，又睡又睡
床座り＿身を乗り出す	坐在地板上探出身子
床座り＿身を乗り出す待機	坐在地板上探身等待
床座り＿身を乗り出す戻り	坐在地板上探出身子
床座り＿胸の前で組む	坐在地板前，抱在胸前
床座り＿胸の前で組む待機	坐在地板上，胸前交叉等待
床座り＿胸の前で組む戻り	坐在地板上，抱在胸前
床座り＿酔い困惑	坐在床上感到困惑
床座り＿酔い困惑待機	坐在床上困惑等待
床座り＿酔い困惑戻り	坐在床上解酒解闷
床座り＿驚き	坐在地板上感到惊讶
床座り＿驚き待機	坐在地板上惊讶地等待
床座り＿驚き戻り	坐在地板上惊讶地回来
床座り＿酔い敬礼	坐在床上敬酒
床座り＿酔い敬礼待機	坐在床上&等待醉酒敬礼
床座り＿酔い敬礼戻り	坐在床上还醉了敬礼
床座り＿手合わせ	坐在地板上，双手合十
床座り＿手合わせ待機	坐在地板上，等待双手合十
床座り＿手合わせ戻り	坐在地板上，双手合十
床座り＿ぷんぷん	地板坐得满满的
床座り＿ぷんぷん待機	坐在地上待命
床座り＿ぷんぷん戻り	席地而坐
床座り＿ワイン待機	坐在地板上，等待葡萄酒
床座り＿ワイン乾杯	坐在地板上，干杯葡萄酒
床座り＿ワイン飲む	坐在地板上喝葡萄酒
床座り＿キス準備	坐在地板上准备接吻
床座り＿キス	坐在地板上接吻
床座り＿キス準備戻り	坐在地板上，接吻准备回来
床座り＿照れる	光坐在地板上害羞
床座り＿照れる戻り	地板坐着害羞的回来
【アイテム削除】	【删除项目】
本	书
--------------------イベント007--------------------	---------事件007---------
気絶２	气绝2
床座り読書	坐在地板上看书
バレンタインチョコ	情人节巧克力
--------------------イベント008--------------------	---------事件008---------
バレンタインチョコ待機	情人节巧克力待机
バレンタインチョコ差し出す	情人节送巧克力
ダンス鑑賞＿待機	舞蹈鉴赏待机
ダンス鑑賞＿微笑み	舞蹈鉴赏微笑
ダンス鑑賞＿頬掻き	舞蹈鉴赏
ダンス鑑賞＿胸タッチ	舞蹈鉴赏胸触
ダンス鑑賞＿尻タッチ	舞蹈鉴赏
マイク座り正面＿待機	麦克风座正面待机
マイク座り＿左移行	麦克风坐姿-左移
マイク座り左＿待機	麦克风坐左待机
クレープ	可丽饼
ナイフとフォーク	刀叉
ＶＲコントローラー	VR控制器
紙袋	纸袋
鞭	鞭子
両手カード	双手卡片
弁当	盒饭
シルバートレイ	银色托盘
シルクハット	礼帽
蝋燭	蜡烛
鎖付き手錠	带锁手铐
クレープを食べる	吃可丽饼
両手にナイフとフォーク	双手握着刀叉
立ってゲームをプレイ	站起来玩游戏
マットお色気ポーズ	垫子性感姿势
偉そうに座る	大模大样地坐着
紙袋を差し出す	拿出纸袋
スカートを抑える	控制裙子
女王様のポーズ	女王的姿势
手首拘束ポーズ	手腕约束姿势
ヨガのポーズ	瑜伽姿势
ポーカーで勝負	用扑克比赛
両手で顔を隠す	用双手蒙住脸
アンニュイなティータイム	不新鲜的茶点
真夏の誘惑ポーズ１	盛夏的诱惑姿势1
真夏の誘惑ポーズ２	盛夏的诱惑姿势2
なんでやねん	为什么啊
歯ブラシを握る	握牙刷
手渡し改	亲手递交
両手に皿	双手捧着盘子
鳩を出す	伸出鸽子
ぐうたらポーズ	懒散的姿势
ロウソクを垂らす	滴蜡烛
Hなポーズ１	H的姿势1
Hなポーズ２	H的姿势2
Hなポーズ３	H的姿势3
壁ドン	壁咚
膝枕＿撫でるFM	枕膝调频
膝枕＿撫でるMF	抚摸膝盖的MF
膝枕＿撫でるFF	抚摸膝盖的FF
なんでやねんM	为什么啊M
--------------------品評会001--------------------	---------品评会001---------
品評会＿無垢成功	品评会无垢成功
品評会＿無垢失敗	品评会无垢失败
品評会＿真面目成功	品评会认真成功
品評会＿真面目失敗	品评会认真失败
品評会＿凛デレ成功	品评会凛デレ成功
品評会＿凛デレ失敗	品评会：凛デレ失败
--------------------2.1_エディットポーズ_001--------------------	编辑姿势001-----2.1编辑姿势
--------------------2.1用--------------------	---------2.1用-------------
ポーズ21_001	姿势21 001
ポーズ21_002	姿势21 002
ポーズ21_003	姿势21 003
ポーズ21_胸縦揺れ	姿势21胸纵摇
ポーズ21_胸横揺れ	姿势21胸部横向摇晃
--------------------2.0用--------------------	---------2.0用---------
ポーズ001	姿势001
ポーズ002	姿势002
ポーズ003	姿势003
ポーズ004	姿势004
ポーズ005	姿势005
ポーズ006	姿势006
ポーズ007	姿势007
ポーズ008	姿势008
ポーズ009	姿势009
ポーズ010	姿势010
ポーズ011	姿势011
ポーズ012	姿势012
ポーズ013	姿势013
ポーズ014	姿势014
ポーズ015	姿势015
ポーズ016	姿势016
ポーズ017	姿势017
ポーズ018	姿势018
ポーズ019	姿势019
ポーズ020	姿势020
ポーズ021	姿势021
ポーズ022	姿势022
ポーズ023	姿势023
ポーズ035	姿势035
ポーズ036	姿势036
ポーズ037	姿势037
ポーズ038	姿势038
ポーズ054	姿势054
--------------------2.1_コラボ用ポーズ--------------------	--------合作用的姿势
コラボポーズ_001	合作姿势001
コラボポーズ_002	合作姿势002
コラボポーズ_003	合作姿势003
コラボポーズ_004	合作姿势004
コラボポーズ_005	合作姿势005
コラボポーズ_006	合作姿势006
--------------------エディットポーズ電気外2017冬--------------------	---------2017年冬季电器外编辑姿势
dg17wポーズ001	姿势001
dg17wポーズ002	姿势002
dg17wポーズ003	姿势003
dg17wポーズ004	姿势004
dg17wポーズ005	姿势005
--------------------エディットポーズ電気外2018夏--------------------	---------非电器版2018夏季--------
dg18sポーズ001	姿势001
dg18sポーズ002	姿势002
dg18sポーズ003	姿势003
dg18sポーズ004	姿势004
dg18sポーズ005	姿势005
--------------------エディットポーズ電気外2018冬--------------------	---------编辑暂停电器外2018冬---------
dg18wポーズ001	姿势001
dg18wポーズ002	姿势002
dg18wポーズ003	姿势003
dg18wポーズ004	姿势004
dg18wポーズ005	姿势005
--------------------エディットポーズ電気外2019夏--------------------	---------非电器版2019夏季
dg19sポーズ001	姿势001
dg19sポーズ002	姿势002
dg19sポーズ003	姿势003
dg19sポーズ004	姿势004
dg19sポーズ005	姿势005
--------------------エディットポーズ電気外2019冬--------------------	室外2019冬----编辑暂停
dg19wポーズ001	姿势001
dg19wポーズ002	姿势002
dg19wポーズ003	姿势003
dg19wポーズ004	姿势004
dg19wポーズ005	姿势005
--------------------エディットポーズカラオケ004--------------------	---------编辑暂停卡拉OK 004---------
カラオケ004ポーズ_001	卡拉OK 004姿势001
カラオケ004ポーズ_002	卡拉OK 004姿势002
--------------------エディットポーズkissイベント2008--------------------	---------编辑暂停kiss事件2008---------
キスイベント2018ポーズ001	接吻活动2018暂停001
キスイベント2018ポーズ002	接吻活动2018暂停002
--------------------エディットポーズキスの日001--------------------	----编辑暂停接吻之日
キスの日ポーズ001	接吻日姿势001
キスの日ポーズ002	接吻日姿势002
--------------------エディットポーズメイドの日_001--------------------	编辑姿势女仆之日
メイドの日ポーズ001	女仆之日姿势001
--------------------2.1_エディットポーズVP用_001--------------------	编辑姿势VP用001---------
ポーズ024	姿势024
ポーズ025	姿势025
ポーズ026	姿势026
ポーズ027	姿势027
ポーズ028	姿势028
ポーズ029	姿势029
ポーズ030	姿势030
ポーズ031	姿势031
ポーズ032	姿势032
ポーズ033	姿势033
ポーズ034	姿势034
--------------------エディットポーズ予約001--------------------	---------编辑姿势预约001---------
予約ポーズ001	预约姿势001
予約ポーズ002	预约姿势002
予約ポーズ003	预约姿势003
予約ポーズ004	预约姿势004
予約ポーズ005	预约姿势005
予約ポーズ006	预约姿势006
予約ポーズ007	预约姿势007
予約ポーズ008	预约姿势008
予約ポーズ009	预约姿势009
予約ポーズ010	预约姿势010
--------------------ソファー_会話C001（統一F）--------------------	---------沙发对话C 001（统一F）---------
会話座り待機	对话坐位待机
会話座り前傾	对话坐前倾
会話座り咥える	对话坐下叼着
あーんしてもらう座り待機	坐着待命
あーんしてもらう差し出す	交出请示
あーんしてもらう食わせる	让他尝尝看
食わせた後	吃完后
会話座り腕を組む	抱着健谈的胳膊
会話座り手を合わせる	对话坐在一起
会話座り喜ぶ	谈笑风生
会話座り照れる	不好意思交谈
会話座り頷く	坐着点头
会話座り驚く	坐在椅子上聊天感到惊讶
会話座り呆れる	对话坐着发呆
会話座り口元に手を当てる	用手捂着嘴说话
お酌待機C	斟酒待机C
お酌C	斟酒C
ワイン待機C	葡萄酒待机C
ワイン乾杯C	葡萄酒干杯C
ワイン飲むC	喝葡萄酒C
--------------------ソファー_会話C002（統一F）--------------------	---------沙发对话C 002（统一F）---------
会話座り頬掻き	对话坐着挠脸颊
会話座りがっかり	对话坐下失望
--------------------ソファー_会話L001（統一E）--------------------	---------沙发对话L 001（统一E）---------
ソファーで会話L	在沙发上对话
ソファーで驚きL	沙发上的惊喜L
ソファーで驚き終了L	在沙发上惊喜结束L
ソファーで困惑L	沙发上的困惑L
ソファーで困惑終了L	在沙发上困惑结束L
ソファーで驚き２L	沙发上的惊喜2L
ソファーで驚き２終了L	沙发惊喜2结束L
ソファーで頭を抱えるL	在沙发上抱着头的L
ソファーで考えるL	在沙发上思考的L
ソファーで考える終了L	在沙发上思考的结束L
ソファーで腕を組むL	在沙发上挽着手臂的L
ソファーで推理L	在沙发上推理L
ソファーで乗り出す１L	在沙发上探出的1L
ソファーで乗り出す１終了L	在沙发上探出的1月末L
ソファーで乗り出す２L	在沙发上探出的2L
ソファーで乗り出す２終了L	在沙发上探出的2段L
ソファーでうつむくL	在沙发上低着头的L
ソファーでうつむく終了L	在沙发上低着头结束L
ソファーで恥ずかしいL	在沙发上害羞的L
ソファーで恥ずかしい終了L	在沙发上害羞的结束L
ソファーで照れるL	在沙发上害羞的L
ソファーで照れる終了L	在沙发上害羞的结束L
ソファーで手を合わせるL	在沙发上双手合十的L
ソファーで手を合わせる終了L	在沙发上双手合十的结束L
ソファーで恥じらうL	在沙发上害羞的L
ソファーで接近L	在沙发上接近L
ソファーで了解L	在沙发上了解L
--------------------ソファー_会話L002--------------------	---------沙发会话L 002---------
---------------------アイテム-------------------	---------项目---------
命令カード	命令卡片
----------------------------------------	---------
ソファーでカードを見るL	在沙发上看卡片的L
ソファーで乗り出す３L＿移行	在沙发上探出3L转移
ソファーで乗り出す３L＿戻り	在沙发上探出3L回来
ソファーで喜ぶL＿移行	在沙发上开心的L转移
ソファーで喜ぶL＿戻り	在沙发上开心的L返回
ソファーでガッツポーズL＿移行	在沙发上胜利姿势L转移
ソファーでガッツポーズL＿戻り	在沙发上摆出胜利姿势
--------------------ソファー_会話R001（統一D）--------------------	---------沙发对话R 001（统一D）---------
ソファーで会話	在沙发上对话
ソファーで驚き	在沙发上吃惊
ソファーで驚き終了	在沙发上惊喜结束
ソファーで困惑	沙发上的困惑
ソファーで困惑終了	在沙发上结束困惑
ソファーで驚き２	沙发上的惊喜2
ソファーで驚き２終了	沙发惊喜2结束
ソファーで頭を抱える	在沙发上抱着头
ソファーで考える	在沙发上思考
ソファーで考える終了	在沙发上思考结束
ソファーで腕を組む	在沙发上抱胳膊
ソファーで推理	在沙发上推理
ソファーで乗り出す１	在沙发上探出
ソファーで乗り出す１終了	在沙发上探出的1结束
ソファーで乗り出す２	在沙发上探出
ソファーで乗り出す２終了	在沙发上探出的2结束
ソファーでうつむく	在沙发上低着头
ソファーでうつむく終了	在沙发上低头结束
ソファーで恥ずかしい	在沙发上害羞
ソファーで恥ずかしい終了	在沙发上害羞的结束
ソファーで照れる	在沙发上害羞
ソファーで照れる終了	在沙发上害羞的结束
ソファーで手を合わせる	在沙发上双手合十
ソファーで手を合わせる終了	在沙发上双手合十结束
ソファーで恥じらう	在沙发上害羞
ソファーで接近	靠近沙发
ソファーで了解	在沙发上了解
--------------------ソファー_会話R002--------------------	---------沙发对话R 002---------
ソファーでカードを見る	在沙发上看卡片
ソファーで乗り出す３＿移行	在沙发上探出3转移
ソファーで乗り出す３＿戻り	在沙发上探出身子
ソファーで喜ぶ＿移行	在沙发上开心的转移
ソファーで喜ぶ＿戻り	在沙发上高兴的同时回来
ソファーでガッツポーズ＿移行	沙发上的胜利姿势
ソファーでガッツポーズ＿戻り	在沙发上摆出胜利姿势
--------------------会話座り読書--------------------	---------对话坐着看书---------
会話座り読書_C_読む	对话坐着看书C读
会話座り読書_C_本で顔隠す	对话坐着看书C用书遮住脸
会話座り読書_R_読む	对话坐着看书R读
会話座り読書_R_本で顔隠す	对话坐着看书R用书遮住脸
会話座り読書_L_読む	对话坐着看书L读
会話座り読書_L_本で顔隠す	对话坐着看书L用书遮住脸
--------------------汎用_会話立ち001（統一A）--------------------	---------通用会话站001（统一A）---------
会話立ち待機戻り	对话开始待机回来
会話立ち喜ぶ	高兴地交谈
会話立ち高笑い	谈笑风生
会話立ちどやる	从会话开始
会話立ち手を合わせる	站在一起谈话
会話立ち驚く	会话令人吃惊
会話立ち呆れる	说话站着发呆
会話立ち俯き思案	站在对话的角度思考
会話立ちそっぽ向く	话匣子一打开
会話立ち指を立てる	站在谈话的立场上指手画脚
会話立ちご案内	会话指南
会話立ち腕を組む	站在对话的立场上
会話立ち悔しがる腕振り	说话后悔的手腕
会話立ち悔しがる腕振りループ	对话起来后悔的手臂循环
会話立ち悔しがる	说话后悔
会話立ち照れる	说话害羞
会話立ち嫌がる	不愿意搭话
会話立ち謝る	站在一旁道歉
会話立ち指を指す	说话指手画脚
会話立ち頷く	站着点头
会話立ち拍手	起立鼓掌
会話立ち遅い拍手	说话慢的掌声
会話立ち手を振る	站在对话的立场上挥手
会話立ち普通１	会话站普通1
会話立ち怯み	说话怯懦
会話立ち前のめり	对话开始前
会話立ちがっかり	对话很失望
会話立ち頬掻き	说话时两颊绯红
会話立ち袖振り	会话的站姿
会話立ち指を合わせる	交谈时手指对上
会話立ち胸を叩く	站在对话的立场敲打着胸膛
会話立ち謝罪	口头谢罪
会話立ち威張る	摆架子
会話立ちORZ	会话站ORZ
会話立ちORZ立ち上がる	对话站起来
会話立ちよっ	通过会话
会話立ち厨二笑い	会话立厨二笑
会話立ち煽る	煽动会话
会話立ち腰に手を当てる	站在谈话的立场上
会話立ち口元に手を当てる	用手捂着嘴说话
ガッツ＿移行	毅力转移
ガッツ＿待機	毅力待机
手渡し＿移行	交付转移
手渡し＿待機	亲手交给对方，等待
会話立ち敬礼	会话敬礼
会話立ち地団駄	会话站着脚
会話立ち任せて	把对话交给我
会話立ちキラッ	谈话技巧
会話立ちお辞儀＿普通	会话立鞠躬普通
会話立ちお辞儀＿凛	对话立鞠躬
会話立ち力こぶ	会话能力强
会話立ち秘部を隠す	隐藏对话秘书部
会話立ち接近＿待機	对话开始接近待机
会話立ち接近	会话接近
会話立ち接近後＿待機	对话开始接近后待机
歩き１登場	步行一登场
歩き１待機	步行1待机
歩き１移動	步行1移动
会話立ち＿無垢ジャンプ	会话立无垢跳跃
会話立ち＿いや～ん	说话方式不好
会話立ち＿指パッチン	谈话时站起来，用手指轻拍
会話立ち片手を前に出す	一只手站在前面
会話立ち両手前に出す待機	站在对话前两手拿出来待机
会話立ち両手を前に出す	站在对话的立场，两手向前伸
ケーキ待機	等待蛋糕
ケーキ前に出す	在蛋糕前拿出来
会話立ちスマホ	会话型智能手机
会話立ち考える	从会话角度考虑
会話立ちすまし	开始对话
会話立ち傅きポーズ001	会话立傅姿势001
--------------------汎用立ち会話002（女１のみ）--------------------	---------通用口语002（仅限女性1）---------
会話立ち壁ドン＿待機	对话立壁咚待机
会話立ち壁ドン＿移行	对话立壁咚转移
会話立ち＿待機	对话开始待机
会話立ちにゃん	会话站
--------------------会話立ち読書_001--------------------	---------站在对话角度看书
会話立ち読書_読む	站着对话看书阅读
会話立ち読書_本で顔隠す	会话立读书用书遮住脸
--------------------男性モーション001（統一Z）--------------------	---------男性动作001（统一Z）---------
男立ち＿正眼	男子汉正眼
男立ち＿チャラ男	男人味十足的男人
男立ち＿腹を擦る	男子汉大丈夫，动不动就动怒
男座り＿考える	男人坐着考虑
男座り＿深々	男人坐得很深
男座り＿腕組	男人坐，胳膊组
胸揉み＿待機	揉胸等待
胸揉み＿構え	揉胸姿势
男ソファーワイン待機	男沙发红酒待机
男ソファーワイン待機L	男沙发红酒待机L
カジノ座り	赌场坐位
テーブルマナー待機_男	餐桌礼仪待机男性
テーブルマナー食べる_男	餐桌礼仪吃男人
--------------------モーション･MAID--------------------	---------运动MAID---------
JUMP_S	JUMP S
JUMP_S_ATOFF_	JUMP S ATOFF
MAID_COMEHOME1_ONCE_	MAID COMEHOME1 ONCE
MAID_COMEHOME2_LOOP_	MAID COMEHOME2 LOOP
MAID_COMEHOME3_ONCE_	MAID COMEHOME3 ONCE
MAID_COMEHOME4_GATSU_ONCE_	MAID COMEHOME4 GATSU ONCE
MAID_DRESSROOM01	MAID DRESSROOM01
MAID_DRESSROOM02	MAID DRESSROM02
MAID_DRESSROOM03	MAID DRESSROOM03
MAID_OJIGI02_ONCE_	MAID OJIGI02 ONCE
MAID_STAND01	MAID STAND01
MAID_STAND02	MAID STAND02
MAID_STAND02AKIRELOOP	MAID STAND02 AKIRELOOP
MAID_STAND02AKIRESTOP_ONCE_	MAID STAND02 AKIRESTOP ONCE
MAID_STAND02AKUBI_ONCE_	MAID STAND02 AKUBI ONCE
MAID_STAND02HAIR_ONCE_	MAID STAND02 HAIR ONCE
MAID_STAND02KAIWA1_ONCE_	MAID STAND02KAIWA1 ONCE
MAID_STAND02KAIWA2_ONCE_	MAID STAND02KAIWA2 ONCE
MAID_STAND02LEFT_ONCE_	MAID STAND 02LEFT ONCE-
MAID_STAND02LISTENB_LOOP_	MAID STAND02 LISTENB LOOP
MAID_STAND02LISTENB_ONCE_	MAID STAND02 LISTENB ONCE
MAID_STAND02LISTENB_UNAZUKI_ONCE_	MAID STAND02 LISTENB UNAZUKI ONCE N
MAID_STAND02LISTENLOOP	MAID STAND 02 LISTENLOOP
MAID_STAND02LISTENLOOP2	MAID STAND02 LISTENLOOP 2
MAID_STAND02LISTENLOOP3_ONCE_	MAID STAND02 LISTENLOOP 3 ONCE
MAID_STAND02OJIGI_ONCE_	MAID STAND02 OJIGI ONCE
MAID_STAND02SIAN_ONCE_	MAID STAND02SIAN ONCE
MAID_STAND02SIAN2_ONCE_	MAID STAND02SIAN2 ONCE
MAID_STAND02SINKOKYU_ONCE_	MAID STAND02 SINKOKYU ONCE
MAID_STAND02TAMEIKI_ONCE_	MAID STAND02 TAMEIKI ONCE
MAID_STAND02TERE	MAID STAND02 TERE
MAID_STAND02UNAZUKI_ONCE_	MAID STAND02 UNAZUKI ONCE
MAID_STAND03_BASE	MAID STAND03 BASE
MAID_STAND03_OJIGI_ONCE_	MAID STAND03 OJIGI ONCE
MAID_STAND05	MAID STAND05
MAID_VIEW1	MAID VIEW1
MAIDCHO_OHA1	MAIDCHO OHA 1
MAIDCHO_OHA2_ONCE_	MAIDCHO OHA2 ONCE
MAIDCHO_OHA3	MAIDCHO OHA 3
SIT_BED1	SIT BED1
SIT_TUKUE	SIT TUKUE
SIT_YASUMI1	SIT YASUMI 1
SLEEP1	SLEEP 1
SLEEP2	SLEEP 2
STAND_AKIRE	STAND AKIRE
STAND_AKIRE2	STAND AKIRE2
STAND_ANNAI	STAND ANNAI
STAND_DESK1	STAND DESK1
STAND_KIHON2	STAND KIHON2
STAND_MADOGIWA	STAND MADOGIWA
STAND000_SUDATI	STAND 000 SUDATI
STAND001_MAIDKIHONPORSE	STAND 001 MAIDKIHONPORSE
SYS_MODELBASE	SYS MODELBASE
SYS_MUNEHIDE	SYS MUNEHIDE
SYS_MUNEPORO	SYS MUEPORO
TURN01	TURN 01
TURN01_ATOFF_	TURN 01 ATOFF
--------------------モーション･MAN--------------------	---------动作MAN---------
M_DANCE000_M	M DANCE000 M
MAN_OHAYO	MAN OHAYO
MAN_PORSE01	MAN PORSE01
MAN_SUWARIMATI1	MAN SUWARIMATI1
--------------------トレーニング001--------------------	---------训练001---------
--------------------顔--------------------	---------脸---------
顔_通常	脸通常
顔_エロ通常２	脸色情通常2
顔_エロ通常３	脸色情通常3
顔_エロ痛み我慢２	脸忍受工口痛2
口開け	张开嘴
口閉じ	闭上嘴
ダンスレッスン＿アームレッグクロスレイズ	舞蹈课程阿姆雷克劳斯
ダンスレッスン＿サイドブリッジ	舞蹈课侧桥
ソムリエ	调酒师
ピアノを弾く＿初心者	弹钢琴的初学者
ピアノを弾く	弹钢琴
ボーカルレッスン＿無垢	主唱课程
ボーカルレッスン＿真面目	主唱课程
ボーカルレッスン＿凜デレ	主唱课程
花に水やり	浇花
花に水やり＿いたずら	给花浇水，恶作剧
花に水やり＿会話右	给花浇水对话右边
カツラ剥き	剥假发
身だしなみ＿華道	仪容之道
スプーン_カレー	汤匙咖喱
スプーン_オムライス	勺子蛋包饭
フォーク	叉子
--------------------VR用イベント001--------------------	---------VR事件001---------
ケチャップをかける	浇番茄酱
フライドポテト開始	炸薯条开始
メロンソーダ待機	甜瓜苏打待命
メロンソーダ乾杯	蜜瓜苏打干杯
メロンソーダ飲む	喝哈密瓜苏打
ソファー会話＿待機	沙发对话待机
ソファー会話＿キス	沙发对话
コーヒーカップ＿待機	咖啡杯待机
コーヒーカップ＿試飲	试饮咖啡杯
コーヒーカップ＿試飲ループ	咖啡杯试饮循环
コーヒーカップ＿譲渡	咖啡杯转让
パフェ待機	巴菲待机
パフェ差し出す	递冰淇淋
パフェ戻り	巴菲回归
食べるループ	吃的循环
ビール待機	待命啤酒
ビール乾杯	啤酒干杯
ビール飲む	喝啤酒
--------------------VR用イベント002--------------------	---------VR事件002---------
--------------------プレッツェル--------------------	---------椒盐卷饼
プレッツェル＿待機	等待
プレッツェル＿食べる	吃椒盐卷饼
プレッツェル＿食べさせる	给吃椒盐卷饼
プレッツェル＿食べるループ	椒盐卷饼吃的循环
--------------------スムージー--------------------	---------平滑
スムージー＿待機１	平滑待机1
スムージー＿待機２	平滑待机2
スムージー＿飲む１	滑溜溜地喝1
スムージー＿飲む２	平滑饮用2
スムージー＿飲むループ１	平滑饮用循环1
スムージー＿飲むループ２	平滑饮用循环2
--------------------カクテル--------------------	---------鸡尾酒
カクテル＿待機１	鸡尾酒待机1
カクテル＿待機２	鸡尾酒待机2
カクテル＿待機３	鸡尾酒待机3
カクテル＿飲む１	喝鸡尾酒1
カクテル＿飲む２	喝鸡尾酒2
カクテル＿飲む３	喝鸡尾酒3
カクテル＿飲むループ１	鸡尾酒饮用循环1
カクテル＿飲むループ２	鸡尾酒饮用循环2
カクテル＿飲むループ３	鸡尾酒饮用循环3
--------------------かき氷--------------------	----刨冰
かき氷＿待機	刨冰待机
かき氷＿差し出す	刨冰拿出来
かき氷＿戻り	刨冰还原
かき氷＿食べるループ	刨冰吃的循环
--------------------仕事女二人001（統一J）--------------------	工作女性二人001（统一J）---------
マッサージ２	按摩2
--------------------仕事男女001（統一I）--------------------	---------工作男女001（统一I）---------
マッサージ	按摩
--------------------仕事関連001--------------------	---------与工作相关的001---------
テニス構え	网球姿势
テニス素振り	网球动作
料理＿鍋＿味見待機	料理锅品尝待机
料理＿鍋＿味見	料理锅品尝
ベッドメイキング	床上用品
ベッドメイキング＿会話左	床上用品对话左边
ベッドメイキング＿会話右	床上用品对话右边
ベッドメイキング＿いたずら	床女仆恶作剧
机拭き	擦桌子
机拭き＿会話左	擦桌子对话左边
机拭き＿会話右	擦桌子对话右边
壺磨き	抛光
机掃除	清扫桌子
机掃除＿会話左	打扫桌子对话左边
机掃除＿会話右	打扫桌子对话右边
机掃除＿いたずら	打扫桌子，恶作剧
拭き掃除	擦干净
拭き掃除＿いたずら	擦干净，恶作剧
拭き掃除＿会話左	擦干净对话左边
拭き掃除＿会話右	擦干净对话右边
拭き掃除＿バイブ	擦干净，振动
お酌待機	等待斟酒
お酌	斟酒
ワイン待機	葡萄酒待命
ワイン乾杯	葡萄酒干杯
ワイン飲む	喝葡萄酒
お酌待機L	斟酒待机L
お酌L	斟酒L
ワイン待機L	葡萄酒待机L
ワイン乾杯L	葡萄酒干杯L
ワイン飲むL	喝葡萄酒的L
掃き掃除	打扫卫生
食器洗い	洗碗
モップ掃除	清扫拖把
モップ掃除＿いたずら	打扫拖把&恶作剧
モップ掃除＿会話前	打扫拖把对话前
モップ掃除＿バイブ	清扫拖把
はたき掃除	扫地
はたき掃除＿いたずら	打扫田地，恶作剧
はたき掃除＿会話左	打扫房间对话左边
はたき掃除＿会話右	打扫房间对话右边
箒掃除	扫帚
箒掃除＿いたずら	扫帚打扫
雑巾がけ	用抹布擦
雑巾がけ＿いたずら	擦抹布，恶作剧
雑巾がけ＿会話左	擦抹布对话左边
雑巾がけ＿バイブ	擦抹布
給仕	服务员
給仕＿いたずら	服务员：恶作剧
給仕＿バイブ	服务员振动
洗濯物を干す	晾衣服
洗濯物を干す＿いたずら	晾衣服是恶作剧
洗濯物を干す＿会話右	晾衣服对话右边
本を読む	读书
本を読む＿いたずら	读书=恶作剧
本を読む＿会話右	看书会话右边
世間話	闲话
世間話＿いたずら	闲聊，恶作剧
出迎え	迎接
出迎え＿いたずら	迎接，恶作剧
買い物	买东西
買い物＿いたずら	购物，恶作剧
裁縫	针线
料理＿鍋作業	料理火锅作业
